,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
10106,"Sri Hartamas, Kuala Lumpur","RM 3,200,000",4+1,5.0,3.0,Condominium,"Built-up : 3,983 sq. ft.",Partly Furnished
10107,"Mont Kiara, Kuala Lumpur","RM 1,100,000",3+1,3.0,1.0,Condominium (Intermediate),"Built-up : 1,690 sq. ft.",Fully Furnished
10108,"City Centre, Kuala Lumpur","RM 560,000",3,2.0,1.0,Condominium,"Built-up : 1,066 sq. ft.",Fully Furnished
10109,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 345,000",3,2.0,1.0,Serviced Residence (Intermediate),Built-up : 950 sq. ft.,Partly Furnished
10110,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 655,000",3+1,2.0,2.0,Serviced Residence (Corner),"Built-up : 1,094 sq. ft.",Unfurnished
10111,"Sungai Besi, Kuala Lumpur","RM 445,000",2,2.0,1.0,Condominium (Intermediate),Built-up : 855 sq. ft.,Partly Furnished
10112,"Sri Petaling, Kuala Lumpur","RM 950,000",4,4.0,2.0,2-sty Terrace/Link House (Intermediate),"Built-up : 1,650 sq. ft.",Partly Furnished
10113,"Sungai Besi, Kuala Lumpur","RM 625,000",3,2.0,2.0,Condominium (Corner),"Built-up : 1,106 sq. ft.",Partly Furnished
10114,"Mont Kiara, Kuala Lumpur","RM 1,450,000",3+1,4.0,2.0,Condominium (Intermediate),"Built-up : 2,980 sq. ft.",Partly Furnished
10115,"Mont Kiara, Kuala Lumpur","RM 1,500,000",3+1,4.0,2.0,Condominium (Intermediate),"Built-up : 3,200 sq. ft.",Fully Furnished
10116,"Sri Petaling, Kuala Lumpur","RM 420,000",2,1.0,1.0,Serviced Residence (Corner),Built-up : 739 sq. ft.,Fully Furnished
10117,"Bukit Jalil, Kuala Lumpur","RM 450,000",3,2.0,1.0,Condominium (Corner),"Built-up : 1,205 sq. ft.",Unfurnished
10118,"Jalan Ipoh, Kuala Lumpur","RM 638,000",3,2.0,1.0,Condominium (Intermediate),Built-up : 978 sq. ft.,Partly Furnished
10119,"Jalan Ipoh, Kuala Lumpur","RM 688,000",3,2.0,1.0,Condominium (Intermediate),Built-up : 978 sq. ft.,Partly Furnished
10120,"Jalan Ipoh, Kuala Lumpur","RM 800,000",3,2.0,1.0,Condominium (Intermediate),"Built-up : 1,227 sq. ft.",Partly Furnished
10121,"Jalan Ipoh, Kuala Lumpur","RM 660,000",3,2.0,1.0,Condominium (Intermediate),Built-up : 978 sq. ft.,Partly Furnished
10122,"Brickfields, Kuala Lumpur","RM 850,000",4,2.0,1.0,Condominium (Corner),"Built-up : 1,550 sq. ft.",Fully Furnished
10123,"Mont Kiara, Kuala Lumpur","RM 1,670,000",4,3.0,2.0,Condominium (Intermediate),"Built-up : 2,147 sq. ft.",Partly Furnished
10124,"KLCC, Kuala Lumpur","RM 3,043,800",3+1,3.0,2.0,Serviced Residence (Intermediate),"Built-up : 2,066 sq. ft.",Partly Furnished
10125,"KL Sentral, Kuala Lumpur","RM 855,800",1,1.0,1.0,Serviced Residence (Intermediate),Built-up : 650 sq. ft.,Partly Furnished
10126,"KL Sentral, Kuala Lumpur","RM 1,359,800",3,3.0,2.0,Serviced Residence (Corner),"Built-up : 1,166 sq. ft.",Partly Furnished
10127,"KL Sentral, Kuala Lumpur","RM 1,194,800",3,3.0,2.0,Serviced Residence (Corner),"Built-up : 1,025 sq. ft.",Partly Furnished
10128,"KL Sentral, Kuala Lumpur","RM 1,046,800",2,2.0,2.0,Serviced Residence (Intermediate),Built-up : 826 sq. ft.,Partly Furnished
10129,"KL Sentral, Kuala Lumpur","RM 855,800",1,1.0,1.0,Serviced Residence (Intermediate),Built-up : 650 sq. ft.,Partly Furnished
10130,"Bukit Jalil, Kuala Lumpur","RM 270,000",2,1.0,1.0,Condominium (Intermediate),Built-up : 775 sq. ft.,Partly Furnished
10131,"KL Sentral, Kuala Lumpur","RM 1,129,800",3,3.0,2.0,Serviced Residence (Intermediate),"Built-up : 1,025 sq. ft.",Partly Furnished
10132,"KL Sentral, Kuala Lumpur","RM 972,800",2,2.0,2.0,Serviced Residence (Intermediate),Built-up : 826 sq. ft.,Partly Furnished
10133,"Mont Kiara, Kuala Lumpur","RM 2,831,888",5+2,5.0,3.0,Condominium,"Built-up : 4,034 sq. ft.",Partly Furnished
10134,"Sri Petaling, Kuala Lumpur","RM 390,000",3,2.0,1.0,Condominium (Intermediate),Built-up : 947 sq. ft.,Partly Furnished
10135,"Mont Kiara, Kuala Lumpur","RM 1,200,000",3,3.0,2.0,Serviced Residence,"Built-up : 1,658 sq. ft.",Fully Furnished
10136,"Mont Kiara, Kuala Lumpur","RM 1,250,000",3,3.0,2.0,Serviced Residence,"Built-up : 1,658 sq. ft.",Fully Furnished
10137,"Sri Petaling, Kuala Lumpur","RM 360,000",2,1.0,1.0,2-sty Terrace/Link House (Intermediate),Land area : 770 sq. ft.,Partly Furnished
10138,"Sungai Besi, Kuala Lumpur","RM 600,000",3,2.0,2.0,Condominium (Corner),"Built-up : 1,044 sq. ft.",Partly Furnished
10139,"Sungai Besi, Kuala Lumpur","RM 2,200,000",4+1,5.0,4.0,Semi-detached House (Intermediate),Land area : 3282 sq. ft.,Partly Furnished
10140,"Sungai Besi, Kuala Lumpur","RM 2,220,000",4+1,5.0,5.0,Semi-detached House (Corner),Land area : 3600 sq. ft.,Partly Furnished
10141,"Brickfields, Kuala Lumpur","RM 3,500,000",6,4.0,4.0,Semi-detached House (Intermediate),Land area : 12600 sq. ft.,Fully Furnished
10142,"Jalan Kuching, Kuala Lumpur","RM 570,000",3+1,2.0,1.0,Condominium (Intermediate),"Built-up : 1,292 sq. ft.",Partly Furnished
10143,"Jalan Ipoh, Kuala Lumpur","RM 670,000",3,2.0,1.0,1.5-sty Terrace/Link House (Intermediate),"Built-up : 1,727 sq. ft.",Partly Furnished
10144,"Bukit Jalil, Kuala Lumpur","RM 588,000",3,2.0,2.0,Condominium (Corner),"Built-up : 1,073 sq. ft.",Fully Furnished
10145,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 2,200,000",6+,7.0,2.0,Bungalow (Intermediate),Land area : 4000 sq. ft.,Fully Furnished
10146,"Damansara Heights, Kuala Lumpur","RM 9,380,000",6,6.0,4.0,Bungalow (Intermediate),Land area : 8364 sq. ft.,Partly Furnished
10147,"Damansara Heights, Kuala Lumpur","RM 7,800,000",4+1,3.0,10.0,Bungalow (Intermediate),Land area : 12068 sq. ft.,Partly Furnished
10148,"Bangsar, Kuala Lumpur","RM 15,600,000",6+,5.0,6.0,Bungalow (Intermediate),Land area : 20850 sq. ft.,Partly Furnished
10149,"Desa ParkCity, Kuala Lumpur","RM 1,600,000",2+2,2.0,2.0,Condominium,"Built-up : 1,475 sq. ft.",Partly Furnished
10150,"Damansara Heights, Kuala Lumpur","RM 4,700,000",4,3.0,4.0,Bungalow (Intermediate),Land area : 9000 sq. ft.,Fully Furnished
10151,"Damansara Heights, Kuala Lumpur","RM 6,200,000",6+1,5.0,6.0,Bungalow (Intermediate),Land area : 9000 sq. ft.,Unfurnished
10152,"Desa ParkCity, Kuala Lumpur","RM 2,400,000",6+1,6.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
10153,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 650,000",2,2.0,2.0,Condominium (Intermediate),"Built-up : 1,164 sq. ft.",Partly Furnished
10154,"Bukit Jalil, Kuala Lumpur","RM 678,000",4,2.0,3.0,Condominium (Intermediate),"Built-up : 1,212 sq. ft.",Partly Furnished
10155,"Taman Desa, Kuala Lumpur","RM 1,100,000",4,3.0,4.0,2-sty Terrace/Link House (Intermediate),Land area : 22x85 sq. ft.,Partly Furnished
10156,"Taman Desa, Kuala Lumpur","RM 1,250,000",4,3.0,4.0,2-sty Terrace/Link House (Intermediate),Land area : 22x85 sq. ft.,Partly Furnished
10157,"Sri Petaling, Kuala Lumpur","RM 598,000",3+1,2.0,3.0,1-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Unfurnished
10158,"Sri Petaling, Kuala Lumpur","RM 648,000",4,2.0,2.0,1.5-sty Terrace/Link House (Intermediate),Land area : 22x70 sq. ft.,Partly Furnished
10159,"Sri Petaling, Kuala Lumpur","RM 618,000",3+1,2.0,3.0,1-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Unfurnished
10160,"Brickfields, Kuala Lumpur","RM 505,000",Studio,2.0,1.0,Condominium (Studio),Built-up : 486 sq. ft.,Fully Furnished
10161,"Brickfields, Kuala Lumpur","RM 515,000",Studio,2.0,1.0,Condominium (Studio),Built-up : 486 sq. ft.,Fully Furnished
10162,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 888,000",3+1,3.0,2.0,Condominium (Corner),"Built-up : 1,578 sq. ft.",Fully Furnished
10163,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 858,000",3+1,3.0,2.0,Condominium (Corner),"Built-up : 1,488 sq. ft.",Fully Furnished
10164,"Seputeh, Kuala Lumpur","RM 1,350,000",5,4.0,4.0,3-sty Terrace/Link House (Intermediate),Land area : 1550 sq. ft.,Partly Furnished
10165,"Sri Petaling, Kuala Lumpur","RM 2,380,000",7+1,7.0,8.0,Semi-detached House (Intermediate),Land area : 40X100 sq. ft.,Partly Furnished
10166,"Cheras, Kuala Lumpur","RM 800,000",3+1,3.0,4.0,Condominium,"Built-up : 1,450 sq. ft.",Partly Furnished
10167,"Mont Kiara, Kuala Lumpur","RM 3,500,000",5,5.0,4.0,Semi-detached House (Intermediate),Land area : 2865 sq. ft.,Partly Furnished
10168,"Kepong, Kuala Lumpur","RM 408,000",3+1,2.0,2.0,Condominium,Built-up : 932 sq. ft.,Unfurnished
10169,"Jinjang, Kuala Lumpur","RM 550,000",3,2.0,2.0,Serviced Residence,"Built-up : 1,136 sq. ft.",Partly Furnished
10170,"Sri Hartamas, Kuala Lumpur","RM 3,300,000",4+2,5.0,4.0,Semi-detached House (Intermediate),Land area : 2850 sq. ft.,Partly Furnished
10171,"Mont Kiara, Kuala Lumpur","RM 4,200,000",4+2,5.0,4.0,Semi-detached House (Intermediate),Land area : 3000 sq. ft.,Partly Furnished
10172,"Mont Kiara, Kuala Lumpur","RM 618,000",1,1.0,1.0,Serviced Residence,Built-up : 650 sq. ft.,Fully Furnished
10173,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 690,000",4,4.0,2.0,Condominium (EndLot),"Built-up : 1,495 sq. ft.",Partly Furnished
10174,"Sri Hartamas, Kuala Lumpur","RM 3,695,000",4,4.0,4.0,Semi-detached House (Intermediate),Land area : 2000 sq. ft.,Partly Furnished
10175,"KLCC, Kuala Lumpur","RM 1,400,000",3+1,3.0,1.0,Condominium (Corner),"Built-up : 1,717 sq. ft.",Fully Furnished
10176,"Sentul, Kuala Lumpur","RM 790,000",3,3.0,1.0,Condominium,"Built-up : 1,237 sq. ft.",Unfurnished
10177,"Sentul, Kuala Lumpur","RM 810,000",3+1,4.0,1.0,Condominium (Corner),"Built-up : 1,381 sq. ft.",Partly Furnished
10178,"KLCC, Kuala Lumpur","RM 2,800,000",4+1,5.0,2.0,Condominium (Corner),"Built-up : 3,800 sq. ft.",Partly Furnished
10179,"KLCC, Kuala Lumpur","RM 2,800,000",4+1,5.0,3.0,Condominium (Corner),"Built-up : 3,218 sq. ft.",Partly Furnished
10180,"Cheras, Kuala Lumpur","RM 380,000",3,2.0,1.0,Condominium (Corner),Built-up : 960 sq. ft.,Fully Furnished
10181,"Mont Kiara, Kuala Lumpur","RM 850,000",3,2.0,1.0,Condominium (Corner),"Built-up : 1,110 sq. ft.",Fully Furnished
10182,"Mont Kiara, Kuala Lumpur","RM 2,450,000",4+1,4.0,2.0,Condominium (Corner),"Built-up : 2,943 sq. ft.",Partly Furnished
10183,"Mont Kiara, Kuala Lumpur","RM 700,000",3,2.0,1.0,Serviced Residence (Corner),"Built-up : 1,248 sq. ft.",Partly Furnished
10184,"Mont Kiara, Kuala Lumpur","RM 2,550,000",6+1,7.0,4.0,Condominium (Corner),"Built-up : 3,840 sq. ft.",Partly Furnished
10185,"KLCC, Kuala Lumpur","RM 1,280,000",2,2.0,1.0,Serviced Residence (Intermediate),Built-up : 880 sq. ft.,Fully Furnished
10186,"Mont Kiara, Kuala Lumpur","RM 1,680,000",4,4.0,3.0,Condominium (Corner),"Built-up : 3,600 sq. ft.",Partly Furnished
10187,"Mont Kiara, Kuala Lumpur","RM 700,000",2,2.0,2.0,Serviced Residence (Corner),Built-up : 913 sq. ft.,Fully Furnished
10188,"Mont Kiara, Kuala Lumpur","RM 1,650,000",3+1,4.0,3.0,Condominium (Corner),"Built-up : 2,648 sq. ft.",Partly Furnished
10189,"Mont Kiara, Kuala Lumpur","RM 2,200,000",4+1,5.0,3.0,Condominium (Corner),"Built-up : 3,152 sq. ft.",Partly Furnished
10190,"Mont Kiara, Kuala Lumpur","RM 2,380,000",4+1,4.0,3.0,Condominium (Corner),"Built-up : 3,055 sq. ft.",Partly Furnished
10191,"Mont Kiara, Kuala Lumpur","RM 2,420,000",4+1,6.0,3.0,Condominium (Corner),"Built-up : 2,906 sq. ft.",Partly Furnished
10192,"Mont Kiara, Kuala Lumpur","RM 3,100,000",4+1,6.0,3.0,Condominium (Corner),"Built-up : 3,401 sq. ft.",Partly Furnished
10193,"Mont Kiara, Kuala Lumpur","RM 2,600,000",4+1,6.0,3.0,Condominium (Corner),"Built-up : 2,906 sq. ft.",Partly Furnished
10194,"Mont Kiara, Kuala Lumpur","RM 2,980,000",4+1,6.0,3.0,Condominium (Corner),"Built-up : 3,541 sq. ft.",Fully Furnished
10195,"Mont Kiara, Kuala Lumpur","RM 1,750,000",4+1,5.0,3.0,Condominium (Corner),"Built-up : 2,495 sq. ft.",Partly Furnished
10196,"Bangsar, Kuala Lumpur","RM 7,000,000",3+2,5.0,3.0,Condominium (Corner),"Built-up : 4,025 sq. ft.",Partly Furnished
10197,"Mont Kiara, Kuala Lumpur","RM 2,080,000",4+1,6.0,3.0,Condominium (Intermediate),"Built-up : 2,411 sq. ft.",Fully Furnished
10198,"KLCC, Kuala Lumpur","RM 1,364,000",2,2.0,1.0,Serviced Residence (Intermediate),Built-up : 880 sq. ft.,Fully Furnished
10199,"KLCC, Kuala Lumpur","RM 2,180,250",3+1,4.0,1.0,Serviced Residence (Corner),"Built-up : 2,295 sq. ft.",Partly Furnished
10200,"Mont Kiara, Kuala Lumpur","RM 1,580,000",3+1,4.0,2.0,Condominium (Corner),"Built-up : 2,487 sq. ft.",Partly Furnished
10201,"Damansara Heights, Kuala Lumpur","RM 5,000,000",5+2,4.0,5.0,Semi-detached House (Corner),Land area : 6700 sq. ft.,Partly Furnished
10202,"Mont Kiara, Kuala Lumpur","RM 690,000",3,2.0,1.0,Serviced Residence (Intermediate),"Built-up : 1,248 sq. ft.",Fully Furnished
10203,"Mont Kiara, Kuala Lumpur","RM 630,000",Studio,1.0,1.0,Serviced Residence (Intermediate),Built-up : 462 sq. ft.,Fully Furnished
10204,"Mont Kiara, Kuala Lumpur","RM 730,000",2,2.0,1.0,Condominium (Intermediate),"Built-up : 1,048 sq. ft.",Fully Furnished
10205,"Mont Kiara, Kuala Lumpur","RM 890,000",3,2.0,2.0,Condominium (Intermediate),"Built-up : 1,280 sq. ft.",Fully Furnished
10206,"Mont Kiara, Kuala Lumpur","RM 1,120,000",3+1,3.0,2.0,Serviced Residence (Corner),"Built-up : 1,650 sq. ft.",Fully Furnished
10207,"Bangsar South, Kuala Lumpur","RM 1,190,000",3,2.0,1.0,Serviced Residence (Corner),"Built-up : 1,119 sq. ft.",Unfurnished
10208,"Mont Kiara, Kuala Lumpur","RM 2,935,000",4+1,6.0,3.0,Condominium (Corner),"Built-up : 3,668 sq. ft.",Partly Furnished
10209,"Mont Kiara, Kuala Lumpur","RM 2,467,590",4+1,4.0,2.0,Condominium (Intermediate),"Built-up : 2,973 sq. ft.",Partly Furnished
10210,"Dutamas, Kuala Lumpur","RM 1,450,000",4+1,4.0,2.0,Condominium (Corner),"Built-up : 2,950 sq. ft.",Partly Furnished
10211,"Mont Kiara, Kuala Lumpur","RM 1,500,000",3+1,4.0,2.0,Condominium (Corner),"Built-up : 1,872 sq. ft.",Fully Furnished
10212,"Mont Kiara, Kuala Lumpur","RM 1,450,000",3+1,4.0,2.0,Condominium (Intermediate),"Built-up : 2,980 sq. ft.",Partly Furnished
10213,"Mont Kiara, Kuala Lumpur","RM 1,800,000",4+1,5.0,2.0,Condominium (Corner),"Built-up : 2,552 sq. ft.",Partly Furnished
10214,"Mont Kiara, Kuala Lumpur","RM 1,600,000",5+1,5.0,9.0,Condominium (Intermediate),"Built-up : 3,120 sq. ft.",Fully Furnished
10215,"Bangsar, Kuala Lumpur","RM 4,380,000",4,3.0,6.0,Bungalow (Corner),Land area : 7000 sq. ft.,Partly Furnished
10216,"Bangsar, Kuala Lumpur","RM 4,200,000",5+1,5.0,2.0,Bungalow (Intermediate),Land area : 6646 sq. ft.,Partly Furnished
10217,"Taman Duta, Kuala Lumpur","RM 28,000,000",5+2,8.0,5.0,Bungalow,Land area : 15000 sq. ft.,Partly Furnished
10218,"Taman Duta, Kuala Lumpur","RM 13,800,000",6+1,8.0,10.0,Bungalow (Corner),Land area : 18000 sq. ft.,Partly Furnished
10219,"Mont Kiara, Kuala Lumpur","RM 12,000,000",6+1,7.0,10.0,Bungalow (Intermediate),Land area : 12000 sq. ft.,Partly Furnished
10220,"Damansara Heights, Kuala Lumpur","RM 11,800,000",4+1,4.0,11.0,Bungalow (Intermediate),"Built-up : 5,000 sq. ft.",Partly Furnished
10221,"Damansara Heights, Kuala Lumpur","RM 5,600,000",5+1,7.0,4.0,Bungalow (Intermediate),Land area : 5600 sq. ft.,Partly Furnished
10222,"Mont Kiara, Kuala Lumpur","RM 12,000,000",6+1,7.0,10.0,Bungalow (Intermediate),Land area : 12000 sq. ft.,Partly Furnished
10223,"Bukit Jalil, Kuala Lumpur","RM 350,000",3,2.0,1.0,Apartment,Built-up : 878 sq. ft.,Partly Furnished
10224,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 550,000",2,2.0,1.0,Serviced Residence,Built-up : 785 sq. ft.,Partly Furnished
10225,"Desa Pandan, Kuala Lumpur","RM 1,400,000",2+1,2.0,2.0,Serviced Residence (Corner),Land area : 1610 sq. ft.,Fully Furnished
10226,"Mont Kiara, Kuala Lumpur","RM 850,000",2,2.0,1.0,Serviced Residence (Corner),Built-up : 861 sq. ft.,Fully Furnished
10227,"KLCC, Kuala Lumpur","RM 2,600,000",2+1,2.0,2.0,Serviced Residence (Corner),"Built-up : 1,459 sq. ft.",Partly Furnished
10228,"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM 6,500,000",4+1,6.0,4.0,Condominium,"Built-up : 4,900 sq. ft.",Partly Furnished
10229,"Cheras, Kuala Lumpur","RM 630,000",4,3.0,1.0,Condominium (Intermediate),Land area : 1472 sq. ft.,Fully Furnished
10230,"Bukit Jalil, Kuala Lumpur","RM 668,000",3,2.0,3.0,Condominium (Intermediate),Land area : 1212 sq. ft.,Fully Furnished
10231,"Cheras, Kuala Lumpur","RM 439,600",3,2.0,2.0,Condominium,Land area : 850-1000 sq. ft.,Partly Furnished
10232,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 420,000",3,2.0,1.0,Serviced Residence (Intermediate),Built-up : 950 sq. ft.,Partly Furnished
10233,"Salak Selatan, Kuala Lumpur","RM 550,000",2,2.0,1.0,Serviced Residence (Intermediate),Built-up : 896 sq. ft.,Partly Furnished
10234,"Desa Pandan, Kuala Lumpur","RM 600,000",3+1,2.0,1.0,Apartment (Corner),"Built-up : 1,500 sq. ft.",Partly Furnished
10235,"Taman Desa, Kuala Lumpur","RM 1,350,000",3+1,3.0,2.0,Condominium,"Built-up : 1,712 sq. ft.",Fully Furnished
10236,"Cheras, Kuala Lumpur","RM 1,130,000",5,6.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 24x80 sq. ft.,Unfurnished
10237,"Cheras, Kuala Lumpur","RM 900,000",4,3.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
10238,"Cheras, Kuala Lumpur","RM 850,000",4,4.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
10239,"Cheras, Kuala Lumpur","RM 900,000",4,3.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
10240,"Cheras, Kuala Lumpur","RM 780,000",4,3.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
10241,"Cheras, Kuala Lumpur","RM 1,500,000",5,5.0,3.0,2-sty Terrace/Link House (Intermediate),Land area : 28x70 sq. ft.,Partly Furnished
10242,"Batu Caves, Kuala Lumpur","RM 500,000",3,2.0,2.0,Serviced Residence (Intermediate),Built-up : 975 sq. ft.,Partly Furnished
10243,"Kuchai Lama, Kuala Lumpur","RM 988,000",5,3.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
10244,"Bukit Jalil, Kuala Lumpur","RM 698,000",3,2.0,3.0,Condominium (Corner),Land area : 1212 sq. ft.,Fully Furnished
10245,"Pandan Perdana, Kuala Lumpur","RM 250,000",1,1.0,1.0,Condominium (Corner),Built-up : 450 sq. ft.,Partly Furnished
10246,"Sungai Besi, Kuala Lumpur","RM 350,000",3,3.0,2.0,Serviced Residence (Corner),"Built-up : 1,045 sq. ft.",Fully Furnished
10247,"Taman Melawati, Kuala Lumpur","RM 2,450,000",4+1,5.0,4.0,Semi-detached House (Corner),Land area : 50x80 sq. ft.,Partly Furnished
10248,"Taman Melawati, Kuala Lumpur","RM 1,600,000",5,5.0,4.0,Semi-detached House (Intermediate),Land area : 42x60 sq. ft.,Partly Furnished
10249,"Ampang, Kuala Lumpur","RM 1,950,000",6+1,7.0,4.0,Semi-detached House (Intermediate),Land area : 40x80 sq. ft.,Partly Furnished
10250,"Taman Melawati, Kuala Lumpur","RM 525,000",3,2.0,2.0,Serviced Residence (Intermediate),Land area : 1007 sq. ft.,Partly Furnished
10251,"Taman Melawati, Kuala Lumpur","RM 1,560,000",3+1,3.0,3.0,Townhouse (EndLot),Land area : 32x80 sq. ft.,Unfurnished
10252,"KLCC, Kuala Lumpur","RM 4,500,000",3+1,3.0,2.0,Condominium (Corner),Land area : 2250 sq. ft.,Partly Furnished
10253,"Ampang Hilir, Kuala Lumpur","RM 1,920,000",3,2.0,3.0,Condominium (Intermediate),Land area : 2240 sq. ft.,Partly Furnished
10254,Kuala Lumpur,"RM 758,000",5,3.0,1.0,2-sty Terrace/Link House,Land area : 22x65 sq. ft.,Partly Furnished
10255,"Taman Melawati, Kuala Lumpur","RM 2,550,000",5+1,7.0,4.0,Bungalow (Intermediate),Land area : 4000 sq. ft.,Partly Furnished
10256,"Taman Melawati, Kuala Lumpur","RM 3,300,000",5,7.0,6.0,Bungalow (Corner),Land area : 7000 sq. ft.,Unfurnished
10257,"Taman Melawati, Kuala Lumpur","RM 3,280,000",5+1,8.0,6.0,Bungalow (Intermediate),Land area : 5300 sq. ft.,Partly Furnished
10258,"Mont Kiara, Kuala Lumpur","RM 860,000",2,2.0,1.0,Condominium (Corner),"Built-up : 1,209 sq. ft.",Fully Furnished
10259,"Taman Melawati, Kuala Lumpur","RM 780,000",4,3.0,2.0,3-sty Terrace/Link House (Intermediate),Land area : 1850 sq. ft.,Partly Furnished
10260,"Taman Melawati, Kuala Lumpur","RM 1,880,000",4+2,6.0,4.0,3-sty Terrace/Link House (Intermediate),Land area : 42x68 sq. ft.,Partly Furnished
10261,"Taman Melawati, Kuala Lumpur","RM 1,560,000",3+1,3.0,3.0,2-sty Terrace/Link House (EndLot),Land area : 32x80 sq. ft.,Unfurnished
10262,"Taman Melawati, Kuala Lumpur","RM 2,999,000",4+1,6.0,4.0,Bungalow (Intermediate),Land area : 4400 sq. ft.,Partly Furnished
10263,"Mont Kiara, Kuala Lumpur","RM 560,000",2,2.0,1.0,Condominium (Intermediate),Built-up : 931 sq. ft.,Fully Furnished
10264,"Bukit Jalil, Kuala Lumpur","RM 320,000",3,2.0,1.0,Apartment (Intermediate),Built-up : 878 sq. ft.,Partly Furnished
10265,"Mont Kiara, Kuala Lumpur","RM 880,000",3,2.0,1.0,Condominium (Corner),Land area : 1205 sq. ft.,Fully Furnished
10266,"Mont Kiara, Kuala Lumpur","RM 880,000",3,2.0,1.0,Condominium (Corner),Land area : 1205 sq. ft.,Fully Furnished
10267,"Bangsar South, Kuala Lumpur","RM 1,641,000",3,2.0,1.0,Serviced Residence,"Built-up : 1,396 sq. ft.",Fully Furnished
10268,"Setapak, Kuala Lumpur","RM 490,000",3,2.0,2.0,Condominium,"Built-up : 1,000 sq. ft.",Partly Furnished
10269,"KL City, Kuala Lumpur","RM 1,050,000",3,2.0,1.0,Serviced Residence (Intermediate),Land area : 1281 sq. ft.,Fully Furnished
10270,"Pandan Perdana, Kuala Lumpur","RM 280,000",1,1.0,1.0,Condominium,Built-up : 450 sq. ft.,Partly Furnished
10271,"Bangsar South, Kuala Lumpur","RM 1,284,000",2,2.0,1.0,Serviced Residence,"Built-up : 1,157 sq. ft.",Fully Furnished
10272,"Cheras, Kuala Lumpur","RM 370,000",3,2.0,1.0,Serviced Residence (Intermediate),Built-up : 950 sq. ft.,Partly Furnished
10273,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 468,000",1,2.0,1.0,Serviced Residence (Corner),Built-up : 872 sq. ft.,Partly Furnished
10274,"Cheras, Kuala Lumpur","RM 650,000",3+1,2.0,2.0,Condominium (Intermediate),"Built-up : 1,461 sq. ft.",Partly Furnished
10275,"Cheras, Kuala Lumpur","RM 598,000",3+1,2.0,1.0,Condominium (Intermediate),"Built-up : 1,461 sq. ft.",Partly Furnished
10276,"Cheras, Kuala Lumpur","RM 325,000",3,2.0,1.0,Apartment (Intermediate),Built-up : 902 sq. ft.,Partly Furnished
10277,"Cheras, Kuala Lumpur","RM 420,000",2,2.0,1.0,Condominium (Intermediate),"Built-up : 1,072 sq. ft.",Partly Furnished
10278,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 375,000",1,2.0,1.0,Serviced Residence (SOHO),Built-up : 775 sq. ft.,Partly Furnished
10279,"Desa ParkCity, Kuala Lumpur","RM 850,000",3,2.0,1.0,Condominium (Corner),"Built-up : 1,184 sq. ft.",Fully Furnished
10280,"Desa ParkCity, Kuala Lumpur","RM 850,000",2+1,3.0,1.0,Condominium (Corner),"Built-up : 1,141 sq. ft.",Fully Furnished
10281,"Segambut, Kuala Lumpur","RM 300,000",2,1.0,1.0,Apartment (Intermediate),Built-up : 743 sq. ft.,Partly Furnished
